batch_id,category,product_slug,product_name,source_path,source_filename,target_path,target_filename,detected_type,confidence,width,height,file_size_bytes,extension,contains_old_brand_filename,contains_contact_filename,action,status,notes
20260717072102-ir1o25,wire-rope-assemblies,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/,terminal-original-04.webp,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/,terminal-original-04.webp,terminal,high,730,730,45534,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,tool-safety-lanyards,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,image-import/tool-safety-lanyards/coiled-tool-safety-lanyard/,safety-coiled-tool-lanyard09071636925.webp,image-import/tool-safety-lanyards/coiled-tool-safety-lanyard/,review-original-01.webp,review,low,730,730,45754,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,tool-safety-lanyards,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,image-import/tool-safety-lanyards/tool-lanyard-with-carabiner/,terminal-original-01.webp,image-import/tool-safety-lanyards/tool-lanyard-with-carabiner/,terminal-original-01.webp,terminal,high,730,730,47904,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,tool-safety-lanyards,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/,custom-black-safety-coil-tool-lanyard-with201907271024448988279.webp,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/,review-original-01.webp,review,low,730,720,30422,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,tool-safety-lanyards,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/,custom-black-safety-coil-tool-lanyard-with26366399445.webp,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/,review-original-02.webp,review,low,730,740,22752,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,tool-safety-lanyards,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/,custom-black-safety-coil-tool-lanyard-with26375774083.webp,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/,review-original-03.webp,review,low,730,740,33960,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,tool-safety-lanyards,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/,custom-black-safety-coil-tool-lanyard-with26376867785.webp,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/,review-original-04.webp,review,low,730,740,27346,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,tool-safety-lanyards,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/,stainless-steel-inside-spring-coil-safety49299212881.webp,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/,review-original-01.webp,review,low,730,916,72034,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,tool-safety-lanyards,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/,stainless-steel-inside-spring-coil-safety50176382869.webp,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/,review-original-02.webp,review,low,730,730,60558,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,tool-safety-lanyards,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/,stainless-steel-inside-spring-coil-safety50181942813.webp,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/,review-original-03.webp,review,low,730,730,65608,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
